,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
47,3,13,7th Heaven Express,O,6,Sun Feb  2 10:45:26 2020,0 days 04:30:04.904196000,16204.904196000001
48,3,13,7th Heaven Express,X,6,Sun Feb  2 15:15:31 2020,0 days 18:14:54.839556000,65694.839556
49,3,13,7th Heaven Express,O,6,Mon Feb  3 09:30:26 2020,0 days 05:45:00.326595000,20700.326595000002
50,3,13,7th Heaven Express,X,6,Mon Feb  3 15:15:26 2020,0 days 18:00:46.988658000,64846.988658
51,3,13,7th Heaven Express,O,6,Tue Feb  4 09:16:13 2020,0 days 05:59:55.746159000,21595.746159000002
52,3,13,7th Heaven Express,X,6,Tue Feb  4 15:16:09 2020,0 days 18:30:00.011956000,66600.011956
53,3,13,7th Heaven Express,O,6,Wed Feb  5 09:46:09 2020,0 days 05:29:59.808022000,19799.808022
54,3,13,7th Heaven Express,X,6,Wed Feb  5 15:16:08 2020,0 days 18:30:00.305530000,66600.30553
55,3,13,7th Heaven Express,O,6,Thu Feb  6 09:46:09 2020,0 days 05:30:00.179954000,19800.179954000003
56,3,13,7th Heaven Express,X,6,Thu Feb  6 15:16:09 2020,0 days 18:29:59.510682000,66599.51068200001
57,3,13,7th Heaven Express,O,6,Fri Feb  7 09:46:08 2020,0 days 02:30:00.230243000,9000.230243
58,3,13,7th Heaven Express,H,6,Fri Feb  7 12:16:09 2020,0 days 01:45:01.018707000,6301.018707
59,3,13,7th Heaven Express,O,6,Fri Feb  7 14:01:10 2020,0 days 01:14:58.950109000,4498.950109
60,3,13,7th Heaven Express,X,6,Fri Feb  7 15:16:09 2020,0 days 18:31:08.093918000,66668.093918
61,3,13,7th Heaven Express,O,6,Sat Feb  8 09:47:17 2020,0 days 05:28:51.876773000,19731.876773
62,3,13,7th Heaven Express,X,6,Sat Feb  8 15:16:09 2020,0 days 17:45:00.753264000,63900.753264000006
63,3,13,7th Heaven Express,O,6,Sun Feb  9 09:01:09 2020,0 days 06:14:59.519650000,22499.519650000002
