index,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
604,11,14,Meadows Carpet,X,1,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
279,8,14,Meadows Quad,X,4,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
601,8,14,Meadows Quad,O,4,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
601,8,14,Meadows Quad,X,4,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
276,5,14,Mountain Triple,X,9,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
598,5,14,Mountain Triple,O,9,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
598,5,14,Mountain Triple,X,9,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
271,12,14,Over Easy Gondola,O,2,Sat Feb 15 20:13:50 2020,0 days 17:33:17.720706000,63197.72070600001
605,12,14,Over Easy Gondola,X,2,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
275,4,14,Sensation Quad,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
597,4,14,Sensation Quad,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
597,4,14,Sensation Quad,X,6,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
278,7,14,Sunny Spruce Quad,X,4,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
600,7,14,Sunny Spruce Quad,O,4,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
600,7,14,Sunny Spruce Quad,X,4,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
277,6,14,Toll House Double,X,14,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
599,6,14,Toll House Double,O,14,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
599,6,14,Toll House Double,X,14,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
