index,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
185,17,10,Chair 17,X,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
179,18,10,Chair 18,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
508,18,10,Chair 18,X,2,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
168,2,10,Chair 2,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
169,3,10,Chair 3,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
170,4,10,Chair 4,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
171,5,10,Chair 5,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
172,6,10,Chair 6,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
173,7,10,Chair 7,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
174,9,10,Chair 9,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
503,9,10,Chair 9,X,3,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
180,19,10,Terrain Park Tow Rope,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
189,7,11,Carpet #7,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
193,1,11,Chairlift #1,X,3,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
509,1,11,Chairlift #1,O,3,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
518,1,11,Chairlift #1,X,3,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
192,15,11,Chairlift #10,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
186,2,11,Chairlift #2,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
187,3,11,Chairlift #3,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
188,4,11,Chairlift #4,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
194,5,11,Chairlift #5,X,4,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
513,5,11,Chairlift #5,O,4,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
195,14,11,Chairlift #6,X,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
513,14,11,Chairlift #6,O,1,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
196,11,11,Rope #11,X,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
197,12,11,Rope #12,X,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
198,13,11,Rope #13,X,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
190,8,11,Rope #8 (Park),O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
191,9,11,Rope #9 (Park),O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
229,33,12,3 Kings,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
222,26,12,Bonanza Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
219,23,12,Cabriolet Gondola,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
226,30,12,Crescent Express,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
211,12,12,Day Break,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
213,14,12,DreamCatcher,O,10,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
212,13,12,DreamScape,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
227,31,12,Eagle,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
240,35,12,Eaglet,X,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
228,32,12,First Time Express,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
216,17,12,Flat Iron,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
220,24,12,Frostwood Gondola,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
205,7,12,High Meadow,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
215,16,12,Iron Mountain Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
230,34,12,Jupiter,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
231,36,12,King Con Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
233,38,12,McConkey's Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
238,44,12,Mine Cart,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
224,28,12,Motherlode Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
237,43,12,Mule Train,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
209,10,12,Ninety-Nine 90 Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
200,2,12,Orange Bubble Express,O,9,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
208,46,12,Over and Out,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
221,25,12,PayDay Express,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
210,11,12,Peak 5,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
234,39,12,Pioneer,O,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
236,41,12,Quicksilver Gondola,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
199,1,12,Red Pine Gondola,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
218,21,12,Rip Cord,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
206,8,12,Saddleback Express,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
202,4,12,Short Cut,O,3,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
241,43,12,Silver Lining,X,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
232,37,12,Silver Star,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
223,27,12,Silverlode Express,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
204,6,12,Sun Peak Express,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
201,3,12,Sunrise,O,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
203,5,12,Super Condor,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
217,18,12,Sweet Pea ,O,2,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
225,29,12,Thaynes,O,6,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
214,15,12,Timberline,O,5,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
207,9,12,Tombstone Express,O,7,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
239,45,12,Tommy Knocker,O,1,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
235,40,12,Town,O,13,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
253,3,13,7th Heaven Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
576,3,13,7th Heaven Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
577,3,13,7th Heaven Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
576,3,13,7th Heaven Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
262,36,13,Big Red Express,X,8,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
583,36,13,Big Red Express,O,8,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
585,36,13,Big Red Express,X,8,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
584,36,13,Big Red Express,O,8,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
242,69,13,Blackcomb Gondola Lower,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
565,69,13,Blackcomb Gondola Lower,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
568,69,13,Blackcomb Gondola Lower,X,7,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
565,69,13,Blackcomb Gondola Lower,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
243,70,13,Blackcomb Gondola Upper,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
566,70,13,Blackcomb Gondola Upper,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
569,70,13,Blackcomb Gondola Upper,X,7,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
566,70,13,Blackcomb Gondola Upper,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
249,9,13,Catskinner Express,X,4,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
572,9,13,Catskinner Express,O,4,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
573,9,13,Catskinner Express,X,4,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
572,9,13,Catskinner Express,O,4,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
256,14,13,Coca-Cola Tube Park,X,4,Sat Feb 15 20:13:50 2020,0 days 14:11:46.124783000,51106.12478300001
578,14,13,Coca-Cola Tube Park,O,4,Sun Feb 16 10:25:36 2020,1 days 02:39:10.844081000,95950.844081
261,34,13,Creekside Gondola,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
582,34,13,Creekside Gondola,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
584,34,13,Creekside Gondola,X,7,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
583,34,13,Creekside Gondola,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
251,10,13,Crystal Ridge Express,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
574,10,13,Crystal Ridge Express,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
575,10,13,Crystal Ridge Express,X,7,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
574,10,13,Crystal Ridge Express,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
263,35,13,Emerald 6 Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
584,35,13,Emerald 6 Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
586,35,13,Emerald 6 Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
585,35,13,Emerald 6 Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
244,5,13,Excalibur Gondola Lower,X,3,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
567,5,13,Excalibur Gondola Lower,O,3,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
245,71,13,Excalibur Gondola Upper,X,5,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
568,71,13,Excalibur Gondola Upper,O,5,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
570,71,13,Excalibur Gondola Upper,X,5,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
568,71,13,Excalibur Gondola Upper,O,5,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
246,8,13,Excelerator Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
569,8,13,Excelerator Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
571,8,13,Excelerator Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
569,8,13,Excelerator Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
259,45,13,Fitzsimmons Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
580,45,13,Fitzsimmons Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
582,45,13,Fitzsimmons Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
581,45,13,Fitzsimmons Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
266,44,13,Franz's Chair,X,8,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
260,40,13,Garbanzo Express,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
581,40,13,Garbanzo Express,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
583,40,13,Garbanzo Express,X,7,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
582,40,13,Garbanzo Express,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
252,7,13,Glacier Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
575,7,13,Glacier Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
576,7,13,Glacier Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
575,7,13,Glacier Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
268,37,13,Harmony 6 Express,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
588,37,13,Harmony 6 Express,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
591,37,13,Harmony 6 Express,X,6,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
589,37,13,Harmony 6 Express,O,6,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
255,11,13,Horstman T-Bar,X,4,Sat Feb 15 20:13:50 2020,1 days 16:50:56.968864000,147056.968864
248,4,13,Jersey Cream Express,X,5,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
571,4,13,Jersey Cream Express,O,5,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
572,4,13,Jersey Cream Express,X,5,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
571,4,13,Jersey Cream Express,O,5,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
247,6,13,Magic Chair,X,6,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
570,6,13,Magic Chair,O,6,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
265,39,13,Olympic Chair,X,5,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
